fecha_fallecimiento,departamento,n,corte
2020-05-12,ANCASH,10,2020-08-01
2020-05-12,CALLAO,17,2020-08-01
2020-05-12,CUSCO,1,2020-08-01
2020-05-12,ICA,4,2020-08-01
2020-05-12,JUNIN,2,2020-08-01
2020-05-12,LA LIBERTAD,1,2020-08-01
2020-05-12,LAMBAYEQUE,16,2020-08-01
2020-05-12,LIMA,116,2020-08-01
2020-05-12,LORETO,5,2020-08-01
2020-05-12,PIURA,12,2020-08-01
2020-05-12,TUMBES,3,2020-08-01
2020-05-12,UCAYALI,3,2020-08-01
2020-05-13,AMAZONAS,2,2020-08-01
2020-05-13,ANCASH,12,2020-08-01
2020-05-13,CALLAO,7,2020-08-01
2020-05-13,CUSCO,1,2020-08-01
2020-05-13,ICA,8,2020-08-01
2020-05-13,JUNIN,3,2020-08-01
2020-05-13,LA LIBERTAD,3,2020-08-01
2020-05-13,LAMBAYEQUE,16,2020-08-01
2020-05-13,LIMA,106,2020-08-01
2020-05-13,LORETO,3,2020-08-01
2020-05-13,PIURA,24,2020-08-01
2020-05-13,SAN MARTIN,1,2020-08-01
2020-05-13,TUMBES,2,2020-08-01
2020-05-13,UCAYALI,1,2020-08-01
2020-05-14,AMAZONAS,1,2020-08-01
2020-05-14,ANCASH,5,2020-08-01
2020-05-14,AYACUCHO,1,2020-08-01
2020-05-14,CALLAO,21,2020-08-01
2020-05-14,ICA,4,2020-08-01
2020-05-14,LA LIBERTAD,8,2020-08-01
2020-05-14,LAMBAYEQUE,25,2020-08-01
2020-05-14,LIMA,129,2020-08-01
2020-05-14,LORETO,7,2020-08-01
2020-05-14,PIURA,18,2020-08-01
2020-05-14,SAN MARTIN,1,2020-08-01
2020-05-14,TUMBES,3,2020-08-01
2020-05-14,UCAYALI,3,2020-08-01
2020-05-15,AMAZONAS,1,2020-08-01
2020-05-15,ANCASH,4,2020-08-01
2020-05-15,AYACUCHO,1,2020-08-01
2020-05-15,CALLAO,12,2020-08-01
2020-05-15,CUSCO,1,2020-08-01
2020-05-15,HUANUCO,1,2020-08-01
2020-05-15,ICA,6,2020-08-01
2020-05-15,JUNIN,1,2020-08-01
2020-05-15,LA LIBERTAD,2,2020-08-01
2020-05-15,LAMBAYEQUE,22,2020-08-01
2020-05-15,LIMA,97,2020-08-01
2020-05-15,LORETO,4,2020-08-01
2020-05-15,MADRE DE DIOS,1,2020-08-01
2020-05-15,PIURA,20,2020-08-01
2020-05-15,SAN MARTIN,2,2020-08-01
2020-05-15,TUMBES,2,2020-08-01
2020-05-15,UCAYALI,2,2020-08-01
2020-05-16,AMAZONAS,2,2020-08-01
2020-05-16,ANCASH,11,2020-08-01
2020-05-16,CAJAMARCA,1,2020-08-01
2020-05-16,CALLAO,2,2020-08-01
2020-05-16,HUANUCO,1,2020-08-01
2020-05-16,ICA,7,2020-08-01
2020-05-16,JUNIN,1,2020-08-01
2020-05-16,LA LIBERTAD,5,2020-08-01
2020-05-16,LAMBAYEQUE,14,2020-08-01
2020-05-16,LIMA,41,2020-08-01
2020-05-16,LORETO,2,2020-08-01
2020-05-16,PIURA,12,2020-08-01
2020-05-16,PUNO,1,2020-08-01
2020-05-16,SAN MARTIN,3,2020-08-01
2020-05-16,TUMBES,1,2020-08-01
2020-05-16,UCAYALI,4,2020-08-01
2020-05-17,AMAZONAS,1,2020-08-01
2020-05-17,ANCASH,12,2020-08-01
2020-05-17,AYACUCHO,1,2020-08-01
2020-05-17,CALLAO,7,2020-08-01
2020-05-17,HUANUCO,2,2020-08-01
2020-05-17,ICA,4,2020-08-01
2020-05-17,JUNIN,5,2020-08-01
2020-05-17,LA LIBERTAD,2,2020-08-01
2020-05-17,LAMBAYEQUE,18,2020-08-01
2020-05-17,LIMA,6,2020-08-01
2020-05-17,LORETO,4,2020-08-01
