fecha_fallecimiento,departamento,provincia,n,corte
2020-04-25,CAJAMARCA,JAEN,1,2020-08-01
2020-04-25,CALLAO,CALLAO,4,2020-08-01
2020-04-25,CALLAO,NA,2,2020-08-01
2020-04-25,ICA,CHINCHA,3,2020-08-01
2020-04-25,ICA,NAZCA,1,2020-08-01
2020-04-25,ICA,PALPA,1,2020-08-01
2020-04-25,JUNIN,JAUJA,1,2020-08-01
2020-04-25,LAMBAYEQUE,CHICLAYO,19,2020-08-01
2020-04-25,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-25,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-25,LAMBAYEQUE,NA,3,2020-08-01
2020-04-25,LIMA,CAÑETE,2,2020-08-01
2020-04-25,LIMA,HUARAL,1,2020-08-01
2020-04-25,LIMA,LIMA,63,2020-08-01
2020-04-25,LORETO,MAYNAS,12,2020-08-01
2020-04-25,LORETO,NA,5,2020-08-01
2020-04-25,MADRE DE DIOS,TAMBOPATA,1,2020-08-01
2020-04-25,PIURA,MORROPON,1,2020-08-01
2020-04-25,PIURA,PIURA,6,2020-08-01
2020-04-25,PIURA,TALARA,1,2020-08-01
2020-04-25,TUMBES,TUMBES,1,2020-08-01
2020-04-25,TUMBES,ZARUMILLA,1,2020-08-01
2020-04-25,UCAYALI,CORONEL PORTILLO,4,2020-08-01
2020-04-25,UCAYALI,NA,3,2020-08-01
2020-04-26,ANCASH,SANTA,7,2020-08-01
2020-04-26,CALLAO,CALLAO,10,2020-08-01
2020-04-26,CALLAO,NA,2,2020-08-01
2020-04-26,ICA,CHINCHA,1,2020-08-01
2020-04-26,ICA,PISCO,2,2020-08-01
2020-04-26,JUNIN,CHUPACA,1,2020-08-01
2020-04-26,JUNIN,YAULI,1,2020-08-01
2020-04-26,LA LIBERTAD,TRUJILLO,6,2020-08-01
2020-04-26,LAMBAYEQUE,CHICLAYO,9,2020-08-01
2020-04-26,LAMBAYEQUE,LAMBAYEQUE,5,2020-08-01
2020-04-26,LAMBAYEQUE,NA,5,2020-08-01
2020-04-26,LIMA,CAÑETE,2,2020-08-01
2020-04-26,LIMA,HUARAL,1,2020-08-01
2020-04-26,LIMA,LIMA,75,2020-08-01
2020-04-26,LIMA,OYON,1,2020-08-01
2020-04-26,LORETO,MAYNAS,8,2020-08-01
2020-04-26,LORETO,NA,8,2020-08-01
2020-04-26,PIURA,MORROPON,1,2020-08-01
2020-04-26,PIURA,PAITA,1,2020-08-01
2020-04-26,PIURA,PIURA,10,2020-08-01
2020-04-26,PIURA,SULLANA,1,2020-08-01
2020-04-26,TUMBES,TUMBES,1,2020-08-01
2020-04-26,UCAYALI,CORONEL PORTILLO,7,2020-08-01
